pmid,pmcid,in_pmc,is_open_access,has_pdf,source,journal,year,status,error
24426230,PMC3689339,true,false,true,MED,Indian J Clin Biochem,2013,reachable,
24427663,PMC3738786,true,false,true,MED,Indian J Otolaryngol Head Neck Surg,2013,reachable,
24523774,PMC3920683,true,true,true,MED,Iran J Pharm Res,2013,reachable,
24596712,PMC3939525,true,false,true,MED,J Clin Diagn Res,2014,reachable,
24673738,,false,false,false,MED,Int J Rheum Dis,2014,no_pmcid,
24876639,PMC4033753,true,false,true,MED,J Food Sci Technol,2014,reachable,
25054579,PMC6166534,true,false,true,MED,CNS Oncol,2013,reachable,
25104916,PMC4124476,true,true,true,MED,BMC Anesthesiol,2014,reachable,
25240309,,false,false,false,MED,J Formos Med Assoc,2014,no_pmcid,
25307901,,false,false,false,MED,Indian J Dent Res,2014,no_pmcid,
25357040,,false,false,false,MED,Plast Reconstr Surg,2014,no_pmcid,
25447801,,false,false,false,MED,Vet J,2014,no_pmcid,
25457927,PMC5022359,true,false,true,MED,J Am Acad Child Adolesc Psychiatry,2014,reachable,
25484415,PMC4248523,true,true,false,MED,Indian J Dermatol,2014,reachable,
25489490,PMC4249809,true,false,true,MED,Aging Dis,2014,reachable,
25530352,,false,false,false,MED,J Infect Public Health,2015,no_pmcid,
25537814,PMC4275644,true,true,true,MED,Eur J Psychotraumatol,2014,reachable,
25790543,,false,false,false,MED,Turk J Med Sci,2015,no_pmcid,
25978746,,false,false,false,MED,Behav Res Ther,2015,no_pmcid,
26155553,PMC4484145,true,false,true,MED,J Clin Diagn Res,2015,reachable,
26155572,PMC4484164,true,false,true,MED,J Clin Diagn Res,2015,reachable,
26330642,PMC4539869,true,true,true,MED,Indian J Psychiatry,2015,reachable,
26357440,PMC4563315,true,true,true,MED,J Phys Ther Sci,2015,reachable,
26483928,PMC4608899,true,true,true,MED,Sleep Sci,2014,reachable,
26520677,,false,false,false,MED,Plant Physiol Biochem,2015,no_pmcid,
26584478,,false,false,false,MED,Scand J Med Sci Sports,2016,no_pmcid,
26587401,PMC4644302,true,true,true,MED,Anesth Pain Med,2015,reachable,
26701117,,false,false,false,MED,Appl Physiol Nutr Metab,2016,no_pmcid,
26710500,,false,false,false,MED,Rom J Intern Med,2015,no_pmcid,
26777394,,false,false,false,MED,Pediatr Dermatol,2016,no_pmcid,
27056686,,false,false,false,MED,Knee Surg Sports Traumatol Arthrosc,2017,no_pmcid,
27131402,,false,false,false,MED,J Pediatr,2016,no_pmcid,
27135916,,false,false,false,MED,Int J Rheum Dis,2016,no_pmcid,
27193740,PMC5084761,true,true,true,MED,Pediatr Dermatol,2016,reachable,
27251965,,false,false,false,MED,Niger J Clin Pract,2016,no_pmcid,
27358159,,false,false,false,MED,J Biol Regul Homeost Agents,2016,no_pmcid,
27408987,PMC5236007,true,false,true,MED,J Diet Suppl,2017,reachable,
27787471,,false,false,false,MED,J Strength Cond Res,2017,no_pmcid,
27800160,PMC5086050,true,true,true,MED,J Eat Disord,2016,reachable,
27826979,,false,false,false,MED,Bratisl Lek Listy,2016,no_pmcid,
27852500,,false,false,false,MED,Spine Deform,2016,no_pmcid,
27929632,,true,true,false,MED,,1993,no_pmcid,
28142285,,false,false,false,MED,Res Sports Med,2017,no_pmcid,
28166780,PMC5294725,true,true,true,MED,Nutr J,2017,reachable,
28251153,PMC5306981,true,true,true,MED,Biomed Res Int,2017,reachable,
28462880,,false,false,false,MED,Lancet Glob Health,2017,no_pmcid,
28490394,,false,false,false,MED,Br J Nutr,2017,no_pmcid,
28584553,PMC5442996,true,true,true,MED,Iran J Nurs Midwifery Res,2017,reachable,
28738079,PMC5524330,true,true,true,MED,PLoS One,2017,reachable,
28823881,,false,false,false,MED,J Am Acad Dermatol,2017,no_pmcid,
28929972,PMC5471936,true,true,true,MED,Fluids Barriers CNS,2017,reachable,
28934075,,false,false,false,MED,Gerontol Geriatr Educ,2019,no_pmcid,
29154232,,false,false,false,MED,Ortop Traumatol Rehabil,2017,no_pmcid,
29175732,,false,false,false,MED,Theriogenology,2018,no_pmcid,
29201297,PMC5705303,true,true,true,MED,Clin Orthop Surg,2017,reachable,
29287834,,false,false,false,MED,Eur J Paediatr Neurol,2018,no_pmcid,
29297147,,false,false,false,MED,Int J Behav Med,2018,no_pmcid,
29349081,PMC5733932,true,true,true,MED,Biomed Res Int,2017,reachable,
29389078,,false,false,false,MED,Clin Pharmacol Drug Dev,2018,no_pmcid,
29391962,PMC5748118,true,true,true,MED,Case Rep Pulmonol,2017,reachable,
29493804,,false,false,false,MED,Int J Eat Disord,2018,no_pmcid,
29911609,,false,false,false,MED,Scand J Pain,2015,no_pmcid,
29969403,,false,false,false,MED,IEEE J Biomed Health Inform,2018,no_pmcid,
29991358,,false,false,false,MED,Br J Psychiatry,2018,no_pmcid,
30055633,PMC6064087,true,true,true,MED,Trials,2018,reachable,
30105287,PMC6086390,true,true,true,MED,SSM Popul Health,2018,reachable,
30170178,,false,false,false,MED,Int J Surg,2018,no_pmcid,
30294056,PMC6168081,true,false,true,MED,Comput Mech,2018,reachable,
30315701,,false,false,false,MED,Arch Razi Inst,2017,no_pmcid,
30328258,,false,false,false,MED,Catheter Cardiovasc Interv,2019,no_pmcid,
30345457,PMC6261115,true,true,true,MED,Dermatol Ther (Heidelb),2018,reachable,
30400518,PMC6190455,true,true,true,MED,Micromachines (Basel),2017,reachable,
30415636,,false,false,false,MED,Trauma Violence Abuse,2018,no_pmcid,
30477678,,false,false,false,MED,Physiotherapy,2018,no_pmcid,
30497658,PMC6204478,true,true,true,MED,Acta Orthop Traumatol Turc,2018,reachable,
30554600,,false,false,false,MED,J Am Acad Dermatol,2019,no_pmcid,
30568316,PMC6249647,true,true,true,MED,J Conflict Resolut,2018,reachable,
30585498,,false,false,false,MED,Clin Rehabil,2019,no_pmcid,
30588837,,false,false,false,MED,Aging Ment Health,2020,no_pmcid,
30636013,PMC8056744,true,false,true,MED,Int J Eat Disord,2019,reachable,
30662301,PMC6323174,true,true,true,MED,J Ginseng Res,2019,reachable,
30730694,,false,false,false,MED,Stroke,2018,no_pmcid,
30732732,,false,false,false,MED,JACC Cardiovasc Interv,2019,no_pmcid,
30886931,PMC6403070,true,true,true,MED,Heliyon,2019,reachable,
30910061,,false,false,false,MED,J Emerg Med,2019,no_pmcid,
30997061,PMC6452477,true,true,true,MED,Clin Case Rep,2019,reachable,
31126888,,false,false,false,MED,JACC Cardiovasc Interv,2019,no_pmcid,
31360367,PMC6499578,true,false,true,MED,J Lasers Med Sci,2019,reachable,
31419544,,false,false,false,MED,J Allergy Clin Immunol,2019,no_pmcid,
31481641,,false,false,false,MED,Pol Przegl Chir,2018,no_pmcid,
31576202,PMC6771927,true,false,true,MED,IEEE Trans Affect Comput,2019,reachable,
31657024,,false,false,false,MED,J Dermatol,2020,no_pmcid,
31679561,,false,false,false,MED,Eur J Paediatr Neurol,2019,no_pmcid,
31684760,PMC7196518,true,false,true,MED,Psychol Health Med,2020,reachable,
31702051,PMC7028456,true,false,true,MED,Int J Eat Disord,2020,reachable,
31766934,,false,false,false,MED,Child Neuropsychol,2020,no_pmcid,
31772459,PMC6868633,true,true,false,MED,Contemp Clin Dent,2018,reachable,
31786338,PMC7571258,true,false,true,MED,J Psychosom Res,2020,reachable,
31789396,PMC6910196,true,true,true,MED,Int J Oncol,2020,reachable,
31826009,PMC6905535,true,true,true,MED,PLoS One,2019,reachable,
31848358,PMC6917718,true,true,true,MED,Sci Rep,2019,reachable,
31868300,,false,false,false,MED,Zoonoses Public Health,2020,no_pmcid,
31878683,,false,false,false,MED,Opt Express,2019,no_pmcid,
31912320,,false,false,false,MED,J Med Ultrason (2001),2020,no_pmcid,
31924033,,false,false,false,MED,Mater Sci Eng C Mater Biol Appl,2020,no_pmcid,
32038738,PMC7006953,true,false,true,MED,Appl Res Qual Life,2020,reachable,
32089860,PMC7024627,true,true,true,MED,Nurs Open,2020,reachable,
32158137,PMC7036393,true,true,true,MED,Physiol Mol Biol Plants,2020,reachable,
32166243,PMC7063925,true,true,true,MED,Crit Care Explor,2019,reachable,
32212104,PMC7125059,true,true,true,MED,Am J Clin Dermatol,2020,reachable,
32252822,,false,false,false,MED,Adv Rheumatol,2020,no_pmcid,
32267455,,false,false,false,MED,Cien Saude Colet,2020,no_pmcid,
32368265,PMC7189532,true,true,true,MED,Anim Reprod,2019,reachable,
32391709,,false,false,false,MED,J Consult Clin Psychol,2020,no_pmcid,
32502588,,false,false,false,MED,J Am Acad Dermatol,2021,no_pmcid,
32682361,PMC7991874,true,true,true,MED,Turk J Med Sci,2021,reachable,
32699492,PMC7375403,true,false,true,MED,IEEE Trans Control Syst Technol,2020,reachable,
32699534,PMC7375744,true,false,true,MED,IEEE trans Intell Transp Syst,2019,reachable,
32770731,,false,false,false,MED,Catheter Cardiovasc Interv,2021,no_pmcid,
32799975,PMC6609992,true,true,true,MED,Prim Health Care Res Dev,2019,reachable,
32839129,PMC8385675,true,false,true,MED,Cardiovasc Revasc Med,2021,reachable,
32859100,PMC7503928,true,true,true,MED,Int J Environ Res Public Health,2020,reachable,
32913396,PMC7471129,true,true,true,MED,J Ginseng Res,2020,reachable,
32915670,,false,false,false,MED,J Ment Health,2022,no_pmcid,
32992943,PMC7579292,true,true,true,MED,Int J Environ Res Public Health,2020,reachable,
33044108,PMC7850316,true,false,true,MED,J Neurogenet,2020,reachable,
33192122,PMC7655494,true,true,true,MED,J Ginseng Res,2020,reachable,
33206928,,false,false,false,MED,Rev Salud Publica (Bogota),2019,no_pmcid,
33281947,PMC7689610,true,true,true,MED,Shoulder Elbow,2020,reachable,
33290346,,false,false,false,MED,Clin J Pain,2021,no_pmcid,
33653585,,false,false,false,MED,Soc Sci Res,2021,no_pmcid,
33661592,,true,true,false,MED,,1993,no_pmcid,
33677113,,false,false,false,MED,J Pain,2021,no_pmcid,
33737987,PMC7962755,true,false,true,MED,Mindfulness (N Y),2021,reachable,
33786493,PMC7784813,true,true,true,MED,Womens Health Rep (New Rochelle),2020,reachable,
33907707,PMC8075319,true,false,true,MED,Lasers Dent Sci,2020,reachable,
34008159,PMC9001243,true,true,true,MED,Int J Behav Med,2022,reachable,
34059568,PMC8185267,true,true,true,MED,J Musculoskelet Neuronal Interact,2021,reachable,
34106239,PMC8190694,true,false,false,MED,JAMA Psychiatry,2021,reachable,
34239513,PMC8258390,true,true,true,MED,Front Microbiol,2021,reachable,
34254179,PMC8639570,true,true,true,MED,Clin Res Cardiol,2021,reachable,
34272792,,false,false,false,MED,Eur J Heart Fail,2021,no_pmcid,
34295213,PMC8282489,true,true,true,MED,J Ginseng Res,2021,reachable,
34368780,PMC8340852,true,false,true,MED,Nat Cancer,2020,reachable,
34379285,PMC8484488,true,true,true,MED,Dermatol Ther (Heidelb),2021,reachable,
34667876,PMC8512733,true,true,true,MED,Learn Health Syst,2021,reachable,
34712039,PMC8547490,true,false,true,MED,J Emot Behav Disord,2021,reachable,
34764270,PMC8586014,true,true,true,MED,Nat Commun,2021,reachable,
34790187,PMC8591454,true,true,true,MED,Front Microbiol,2021,reachable,
34844522,,false,false,false,MED,J Genet Psychol,2022,no_pmcid,
34923216,,false,false,false,MED,Complement Ther Clin Pract,2022,no_pmcid,
34950602,PMC8647117,true,false,true,MED,Eur Thyroid J,2021,reachable,
35057989,,false,false,false,MED,JACC Cardiovasc Interv,2022,no_pmcid,
35093272,PMC8710398,true,true,true,MED,Dig Liver Dis,2022,reachable,
35100937,,false,false,false,MED,Drug Chem Toxicol,2022,no_pmcid,
35405049,,false,false,false,MED,Rom J Intern Med,2022,no_pmcid,
35444368,PMC9015083,true,true,true,MED,Int J Yoga,2022,reachable,
35500949,PMC9844549,true,false,true,MED,Value Health,2022,reachable,
35573886,PMC9073245,true,true,true,MED,J Pharm Anal,2022,reachable,
35586562,PMC8832372,true,true,true,MED,J Health Monit,2021,reachable,
35615235,PMC9125444,true,false,true,MED,J Intensive Care Soc,2022,reachable,
35660128,PMC9771640,true,false,true,MED,J Adolesc Health,2022,reachable,
35719236,PMC9157518,true,false,true,MED,J Sports Sci Med,2022,reachable,
35765659,PMC9236268,true,false,true,MED,Chaos Solitons Fractals,2021,reachable,
35859359,,false,false,false,MED,Can J Aging,2022,no_pmcid,
35916749,,false,false,false,MED,J Strength Cond Res,2022,no_pmcid,
36015146,PMC9415646,true,true,true,MED,Pharmaceuticals (Basel),2022,reachable,
36017205,PMC9377174,true,true,true,MED,Arch Rheumatol,2022,reachable,
36101416,PMC9312845,true,true,true,MED,Biology (Basel),2022,reachable,
36112920,,false,false,false,MED,Health Commun,2022,no_pmcid,
36173874,,true,true,false,MED,,1993,no_pmcid,
36188776,PMC9397768,true,true,true,MED,Front Rehabil Sci,2021,reachable,
36198385,,false,false,false,MED,Anaerobe,2022,no_pmcid,
36281678,,false,false,false,MED,J Prev Alzheimers Dis,2022,no_pmcid,
36354015,,false,false,false,MED,Echocardiography,2022,no_pmcid,
36442640,PMC9729065,true,true,true,MED,J Am Acad Dermatol,2023,reachable,
36469960,,false,false,false,MED,Clin Biomech (Bristol),2023,no_pmcid,
36579813,,false,false,false,MED,Violence Against Women,2022,no_pmcid,
36619691,PMC9817036,true,false,true,MED,J Am Stat Assoc,2022,reachable,
36712350,PMC9802335,true,true,true,MED,PNAS Nexus,2022,reachable,
36742892,PMC9895738,true,false,true,MED,Indian J Otolaryngol Head Neck Surg,2022,reachable,
36865001,PMC9977141,true,false,true,MED,Proc SPIE Int Soc Opt Eng,2022,reachable,
36994662,,false,false,false,MED,Eur J Heart Fail,2023,no_pmcid,
37021171,PMC10069195,true,false,true,MED,Eur Stroke J,2023,reachable,
37039766,,false,false,false,MED,Eur J Prev Cardiol,2021,no_pmcid,
37154471,,false,false,false,MED,J Dermatol,2023,no_pmcid,
37207017,PMC10072919,true,true,true,MED,Health Serv Outcomes Res Methodol,2023,reachable,
37305398,PMC10208034,true,true,true,MED,Oncol Res,2021,reachable,
37332988,PMC10272772,true,true,true,MED,Front Neurol,2023,reachable,
37334732,PMC10278692,true,true,true,MED,Chin Med J (Engl),2023,reachable,
37459248,,false,false,false,MED,Arthritis Rheumatol,2023,no_pmcid,
37534949,,false,false,false,MED,Eat Disord,2024,no_pmcid,
37553907,,false,false,false,MED,Acta Radiol,2023,no_pmcid,
37609697,,false,false,false,MED,JACC Cardiovasc Interv,2023,no_pmcid,
37726453,,false,false,false,MED,Int J Cardiovasc Imaging,2022,no_pmcid,
37811518,PMC10551690,true,true,true,MED,Clin Orthop Surg,2023,reachable,
37863972,PMC10589316,true,true,true,MED,Sci Rep,2023,reachable,
37906799,,false,false,false,MED,Andes Pediatr,2022,no_pmcid,
38009103,PMC10674087,true,true,true,MED,F1000Res,2022,reachable,
38083806,,false,false,false,MED,Worldviews Evid Based Nurs,2024,no_pmcid,
38137194,PMC10743221,true,true,true,MED,Foods,2023,reachable,
38139756,PMC10747868,true,true,true,MED,Sensors (Basel),2023,reachable,
38165336,PMC10870745,true,false,true,MED,Neurology,2024,reachable,
38192586,PMC10772152,true,true,true,MED,EClinicalMedicine,2023,reachable,
38274480,PMC10807960,true,false,true,MED,J Neurol Surg B Skull Base,2024,reachable,
38312820,PMC10837666,true,true,true,MED,Asian J Urol,2024,reachable,
38406536,PMC10887331,true,true,true,MED,EJHaem,2024,reachable,
38447497,,false,false,false,MED,Physiotherapy,2024,no_pmcid,
38545924,,false,false,false,MED,Transfusion,2024,no_pmcid,
38602925,PMC10140764,true,true,true,MED,Psychol Learn Teach,2023,reachable,
38629627,PMC11483228,true,false,true,MED,Int J Eat Disord,2024,reachable,
38648166,,false,false,false,MED,Int J Prosthodont,2024,no_pmcid,
38655572,PMC11035081,true,true,true,MED,Am J Ophthalmol Case Rep,2024,reachable,
38666210,PMC11040029,true,true,true,MED,Clin Diabetes,2024,reachable,
38777187,,false,false,false,MED,J Am Acad Dermatol,2024,no_pmcid,
38798997,PMC11126905,true,true,true,MED,Wellcome Open Res,2023,reachable,
38931190,,false,false,false,MED,Nutrients,2024,no_pmcid,
39022141,PMC11250426,true,true,true,MED,J Food Allergy,2020,reachable,
39022146,PMC11250430,true,true,true,MED,J Food Allergy,2020,reachable,
39055323,PMC11270751,true,true,true,MED,Front Neurol,2024,reachable,
39131469,PMC11308109,true,true,true,MED,J Soc Cardiovasc Angiogr Interv,2022,reachable,
39168760,,false,false,false,MED,Cardiovasc Revasc Med,2025,no_pmcid,
39220344,PMC11361720,true,false,true,MED,Women Crim Justice,2024,reachable,
39292831,,false,false,false,MED,Am J Ther,2024,no_pmcid,
39295876,PMC11406204,true,true,true,MED,Dermatol Reports,2024,reachable,
39353339,,false,false,false,MED,Gait Posture,2024,no_pmcid,
39379599,PMC11461503,true,true,true,MED,Sci Rep,2024,reachable,
39404158,PMC11844235,true,true,true,MED,Geriatr Gerontol Int,2024,reachable,
39472446,PMC11522674,true,true,true,MED,Sci Rep,2024,reachable,
39492044,,false,false,false,MED,J Prosthet Dent,2025,no_pmcid,
39492525,,false,false,false,MED,Sci Total Environ,2023,no_pmcid,
39525800,PMC11543192,true,true,true,MED,Ann Med Surg (Lond),2024,reachable,
39552818,PMC11562436,true,true,true,MED,JAACAP Open,2024,reachable,
39564717,,false,false,false,MED,Int J Dermatol,2025,no_pmcid,
39584122,PMC11583713,true,true,true,MED,Heliyon,2024,reachable,
39609357,,false,false,false,MED,Eur Eat Disord Rev,2025,no_pmcid,
39635212,PMC11614731,true,true,true,MED,Front Public Health,2024,reachable,
39644811,,false,false,false,MED,Eur J Surg Oncol,2025,no_pmcid,
39651450,PMC11620790,true,false,true,MED,J Am Stat Assoc,2024,reachable,
39774204,PMC12121348,true,false,true,MED,Crit Care Med,2025,reachable,
39808808,,false,false,false,MED,J Strength Cond Res,2024,no_pmcid,
39873962,,false,false,false,MED,Paediatr Drugs,2025,no_pmcid,
39925637,PMC11805691,true,true,true,MED,Neurooncol Adv,2025,reachable,
39960738,PMC11833662,true,false,true,MED,JAMA Pediatr,2025,reachable,
40063710,,true,true,false,MED,,2023,no_pmcid,
40101279,,false,false,false,MED,Biopreserv Biobank,2025,no_pmcid,
40191276,PMC11970358,true,false,true,MED,Soc Mov Stud,2025,reachable,
40206107,PMC11976004,true,true,true,MED,Mayo Clin Proc Digit Health,2024,reachable,
40321310,,false,false,false,MED,Struct Heart,2025,no_pmcid,
40351805,PMC12059426,true,true,true,MED,Plast Surg (Oakv),2025,reachable,
40400775,PMC12093136,true,true,true,MED,Int J Popul Data Sci,2023,reachable,
40417469,PMC12099417,true,false,true,MED,AMIA Annu Symp Proc,2024,reachable,
40584142,PMC12203309,true,true,true,MED,F1000Res,2022,reachable,
40591800,,true,true,false,MED,,2019,no_pmcid,
40758469,,false,false,false,MED,Eur J Cardiothorac Surg,2022,no_pmcid,
40778086,PMC12326526,true,false,true,MED,J Econom,2025,reachable,
41190235,PMC12582378,true,false,true,MED,Soc Ment Health,2024,reachable,
41234521,PMC12605588,true,true,true,MED,F1000Res,2023,reachable,
41424904,,false,false,false,MED,Indian J Microbiol,2025,no_pmcid,
41427893,PMC12814322,true,true,true,MED,J Am Chem Soc,2026,reachable,
41474125,,false,false,false,MED,Ophthalmic Plast Reconstr Surg,2025,no_pmcid,
41530040,,false,false,false,MED,Clin Genitourin Cancer,2026,no_pmcid,
41551008,PMC12810569,true,true,true,MED,Genet Med Open,2026,reachable,
41555492,PMC12918764,true,true,true,MED,Bioinformatics,2022,reachable,
41561097,PMC12812552,true,true,true,MED,Front Cell Infect Microbiol,2025,reachable,
41599138,PMC12844832,true,true,true,MED,Pharmaceutics,2025,reachable,
41725673,PMC12917355,true,true,true,MED,Open Res Eur,2025,reachable,
41726410,PMC12919570,true,false,true,MED,AMIA Annu Symp Proc,2024,reachable,
41738858,,false,false,false,MED,Avian Dis,2025,no_pmcid,
41811046,,false,false,false,MED,Zhonghua Yi Xue Yi Chuan Xue Za Zhi,2025,no_pmcid,
41834933,,false,false,false,MED,Indian J Clin Biochem,2026,no_pmcid,
41836069,PMC12981350,true,false,true,MED,Psychol Sex Orientat Gend Divers,2025,reachable,
41836077,PMC12981611,true,false,true,MED,Synlett,2025,reachable,
41867898,PMC13000499,true,true,true,MED,J Pharm Anal,2026,reachable,
7288781,PMC1439266,true,false,true,MED,J R Soc Med,1981,reachable,
9066316,,false,false,false,MED,Anesthesiology,1997,no_pmcid,
