pmid,overall_rob,excluded_before,publication_types,classification,title
26155553,low,0,Journal Article,ambiguous,Evaluation of Correlation of Blood Glucose and Salivary Glucose Level in Known Diabetic Patients.
26155572,low,0,Journal Article,ambiguous,Estimation of Salivary Glucose and Glycogen Content in Exfoliated Buccal Mucosal Cells of Patients with Type II Diabetes
26330642,high,0,Journal Article; Review,non_trial,Women and schizophrenia.
26357440,high,0,Journal Article,ambiguous,Analgesic effect of extracorporeal shock wave therapy versus ultrasound therapy in chronic tennis elbow.
26483928,low,0,Journal Article,ambiguous,The relationship between self-reported sleep quality and reading comprehension skills.
26520677,some_concerns,0,Journal Article,ambiguous,Knockout of GH3 genes in the moss Physcomitrella patens leads to increased IAA levels at elevated temperature and in dar
26584478,high,0,Journal Article,ambiguous,Acute and delayed peripheral and central neuromuscular alterations induced by a short and intense downhill trail run.
26587401,high,0,Journal Article,ambiguous,The Effects of Prolotherapy With Hypertonic Dextrose Versus Prolozone (Intraarticular Ozone) in Patients With Knee Osteo
26701117,high,0,"Journal Article; Randomized Controlled Trial; Research Support, Non-U.S. Gov't",trial,Plyometric exercise combined with high-intensity interval training improves metabolic abnormalities in young obese femal
26710500,low,0,Clinical Study; Journal Article,ambiguous,Glucose Level Estimation in Diabetes Mellitus By Saliva: A Bloodless Revolution.
26777394,low,0,"Clinical Trial, Phase II; Journal Article; Research Support, Non-U.S. Gov't",trial,"Pharmacokinetic Profile, Safety, and Tolerability of Crisaborole Topical Ointment, 2% in Adolescents with Atopic Dermati"
27056686,high,0,Journal Article; Randomized Controlled Trial,trial,"Choice of intra-articular injection in treatment of knee osteoarthritis: platelet-rich plasma, hyaluronic acid or ozone "
27131402,some_concerns,0,"Journal Article; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, P.H.S.",ambiguous,Improving the Sensitivity and Positive Predictive Value in a Cystic Fibrosis Newborn Screening Program Using a Repeat Im
27135916,some_concerns,0,Journal Article; Randomized Controlled Trial,trial,"Clinical and metabolic response to probiotic supplementation in patients with rheumatoid arthritis: a randomized, double"
27193740,some_concerns,0,"Clinical Trial, Phase I; Journal Article; Multicenter Study",trial,"Crisaborole Topical Ointment, 2% in Patients Ages 2 to 17 Years with Atopic Dermatitis: A Phase 1b, Open-Label, Maximal-"
27251965,low,0,Journal Article,ambiguous,Salivary glucose as a diagnostic tool in Type II diabetes mellitus: A case-control study.
27358159,high,0,Comparative Study; Journal Article; Randomized Controlled Trial,trial,"Comparison between intrarticular injection of hyaluronic acid, oxygen ozone, and the combination of both in the treatmen"
27408987,some_concerns,0,Journal Article,ambiguous,Cordyceps militaris Improves Tolerance to High-Intensity Exercise After Acute and Chronic Supplementation.
27787471,some_concerns,0,Journal Article; Randomized Controlled Trial,trial,Twelve Weeks of Plyometric Training Improves Motor Performance of 7- to 9-Year-Old Boys Who Were Overweight/Obese: A Ran
27800160,low,0,Journal Article,ambiguous,Adult picky eaters with symptoms of avoidant/restrictive food intake disorder: comparable distress and comorbidity but d
27826979,some_concerns,0,Journal Article,ambiguous,The anti-inflammatory and antioxidant effects of thymoquinone on ceruleine induced acute pancreatitis in rats.
27852500,high,0,Journal Article,ambiguous,Cost-Effectiveness of Lumbar Spondylolisthesis Surgery at 2-Year Follow-up.
27929632,some_concerns,0,,unknown,
28142285,some_concerns,0,Journal Article; Randomized Controlled Trial,trial,Effects of a 12-week physical activities programme on sleep in female university students.
28166780,high,0,Journal Article; Randomized Controlled Trial,trial,Effect of a high protein diet and/or resistance exercise on the preservation of fat free mass during weight loss in over
28251153,low,0,Journal Article,ambiguous,Evaluation of Parotid Salivary Glucose Level for Clinical Diagnosis and Monitoring Type 2 Diabetes Mellitus Patients.
28462880,low,0,"Journal Article; Randomized Controlled Trial; Research Support, U.S. Gov't, Non-P.H.S.",trial,Effect of a bereavement support group on female adolescents' psychological health: a randomised controlled trial in Sout
28490394,some_concerns,0,Journal Article; Randomized Controlled Trial,trial,Synbiotic supplementation and the effects on clinical and metabolic responses in patients with rheumatoid arthritis: a r
28584553,some_concerns,0,Journal Article,ambiguous,Comparison of the Effect of Acupressure and Pilates-Based Exercises on Sleep Quality of Postmenopausal Women: A Randomiz
28738079,low,0,Comparative Study; Journal Article; Randomized Controlled Trial,trial,"Comparison between intra-articular ozone and placebo in the treatment of knee osteoarthritis: A randomized, double-blind"
28823881,some_concerns,0,Journal Article; Multicenter Study,ambiguous,Long-term safety of crisaborole ointment 2% in children and adults with mild to moderate atopic dermatitis.
28934075,high,0,"Journal Article; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, Non-P.H.S.",ambiguous,Gerontological education: Course and experiential differences across academic colleges.
29154232,high,0,Comparative Study; Journal Article,ambiguous,Radial Extracorporeal Shockwave Therapy and Ultrasound Therapy in the Treatment of Tennis Elbow Syndrome.
29175732,some_concerns,0,Journal Article,ambiguous,The precision of predicting the time of onset of parturition in the bitch using the level of progesterone in plasma duri
29201297,low,0,"Clinical Trial, Phase III; Comparative Study; Equivalence Trial; Journal Article; Multicenter Study; Randomized Controlled Trial",trial,"A Randomized, Multicenter, Phase III Trial to Evaluate the Efficacy and Safety of Polmacoxib Compared with Celecoxib and"
29287834,high,0,Case Reports; Journal Article,non_trial,SLC19A3 related disorder: Treatment implication and clinical outcome of 2 new patients.
29297147,some_concerns,0,Journal Article; Multicenter Study; Randomized Controlled Trial,trial,"One-Year Cardiovascular Prognosis of the Randomized, Controlled, Short-Term Heart Rate Variability Biofeedback Among Pat"
29349081,low,0,Journal Article,ambiguous,Quality of Life in Workers and Stress: Gender Differences in Exposure to Psychosocial Risks and Perceived Well-Being.
29389078,some_concerns,0,"Clinical Trial, Phase I; Comparative Study; Journal Article; Research Support, Non-U.S. Gov't",trial,"Systemic Pharmacokinetics, Safety, and Preliminary Efficacy of Topical AhR Agonist Tapinarof: Results of a Phase 1 Study"
29391962,high,0,Case Reports; Journal Article,non_trial,Seizure and Pulmonary Embolism: A Differential That Can Save a Life.
29493804,some_concerns,0,"Journal Article; Research Support, Non-U.S. Gov't",ambiguous,Outcomes of low-weight patients with avoidant/restrictive food intake disorder and anorexia nervosa at long-term follow-
29911609,some_concerns,0,Journal Article,ambiguous,
29969403,high,0,Journal Article,ambiguous,Maximum-Entropy-Rate Selection of Features for Classifying Changes in Knee and Ankle Dynamics During Running.
29991358,some_concerns,0,"Journal Article; Randomized Controlled Trial; Research Support, Non-U.S. Gov't",trial,Prolonged exposure therapy and supportive counselling for post-traumatic stress disorder in adolescents: task-shifting r
30055633,some_concerns,0,Clinical Trial Protocol; Journal Article,ambiguous,Yoga and breathing technique training in patients with heart failure and preserved ejection fraction: study protocol for
30105287,some_concerns,0,Journal Article,ambiguous,Walkable neighborhoods and obesity: Evaluating effects with a propensity score approach.
30170178,high,0,Comparative Study; Journal Article; Meta-Analysis; Review,non_trial,Intra-articular oxygen-ozone versus hyaluronic acid in knee osteoarthritis: A meta-analysis of randomized controlled tri
30294056,high,0,Journal Article,ambiguous,A Two-Scale Model of Radio-Frequency Electrosurgical Tissue Ablation.
30315701,some_concerns,0,"Journal Article; Research Support, Non-U.S. Gov't",ambiguous,Detection and Isolation of Mycoplasma capricolum Subspecies Capricolum from East Azerbaijan Sheep Flocks.
30328258,some_concerns,0,Journal Article,ambiguous,Prognostic value of impaired hepato-renal function assessed by the MELD-XI score in patients undergoing percutaneous mit
30345457,low,0,Journal Article,ambiguous,Crisaborole Ointment Improves Quality of Life of Patients with Mild to Moderate Atopic Dermatitis and Their Families.
30400518,high,0,Journal Article,ambiguous,Rapid Prototyping of Plastic Lab-on-a-Chip by Femtosecond Laser Micromachining and Removable Insert Microinjection Moldi
30415636,some_concerns,0,Journal Article; Meta-Analysis,non_trial,The Prevalence of Military Sexual Trauma: A Meta-Analysis.
30477678,low,0,"Journal Article; Randomized Controlled Trial; Research Support, Non-U.S. Gov't",trial,Effects of exercise training in water and on land in patients with COPD: a randomised clinical trial.
30497658,high,0,Journal Article; Randomized Controlled Trial,trial,Comparison of ultrasound and extracorporeal shock wave therapy in lateral epicondylosis.
30554600,low,0,"Clinical Trial, Phase II; Journal Article; Randomized Controlled Trial",trial,"A phase 2, randomized dose-finding study of tapinarof (GSK2894512 cream) for the treatment of atopic dermatitis."
30568316,some_concerns,0,Journal Article,ambiguous,"Disputes over the Divine: Introducing the Religion and Armed Conflict (RELAC) Data, 1975 to 2015."
30585498,high,0,Journal Article; Randomized Controlled Trial,trial,Focused extracorporeal shock wave therapy for greater trochanteric pain syndrome with gluteal tendinopathy: a randomized
30588837,high,0,Journal Article,ambiguous,Sharing and valuing older Aboriginal people's voices about social and emotional wellbeing services: a strength-based app
30636013,low,0,Journal Article,ambiguous,Characteristics of outpatients diagnosed with the selective/neophobic presentation of avoidant/restrictive food intake d
30662301,low,0,Journal Article,ambiguous,Protective effects of Korean Red Ginseng against sub-acute immobilization stress-induced testicular damage in experiment
30730694,some_concerns,0,"Journal Article; Research Support, Non-U.S. Gov't",ambiguous,"Post-Thrombolysis Recanalization in Stroke Referrals for Thrombectomy: Incidence, Predictors, and Prediction Scores."
30732732,high,0,"Comparative Study; Journal Article; Multicenter Study; Randomized Controlled Trial; Research Support, Non-U.S. Gov't",trial,Pulmonary Artery Denervation Significantly Increases 6-Min Walk Distance for Patients With Combined Pre- and Post-Capill
30886931,low,0,Journal Article,ambiguous,Fasting salivary glucose levels is not a better measure for identifying diabetes mellitus than serum or capillary blood 
30910061,high,0,Journal Article; Randomized Controlled Trial,trial,The THINK (Treatment of Headache with Intranasal Ketamine) Trial: A Randomized Controlled Trial Comparing Intranasal Ket
30997061,some_concerns,0,Case Reports; Journal Article,non_trial,Unusual presentation of dermatofibroma on the face: Case report.
31126888,low,0,Journal Article,ambiguous,Impact of Transcatheter Tricuspid Valve Repair for Severe Tricuspid Regurgitation on Kidney and Liver Function.
31360367,low,0,Journal Article,ambiguous,Efficacy of High-Power Laser in Alleviating Pain and Improving Function of Patients With Patellofemoral Pain Syndrome: A
31419544,low,0,"Clinical Trial, Phase II; Journal Article; Randomized Controlled Trial; Research Support, Non-U.S. Gov't",trial,Crisaborole and atopic dermatitis skin biomarkers: An intrapatient randomized trial.
31481641,high,0,Journal Article,ambiguous,A new way of presenting diagnostic imaging studies in surgical planning.
31576202,high,0,Journal Article,ambiguous,Probabilistic Multigraph Modeling for Improving the Quality of Crowdsourced Affective Data.
31657024,low,0,Journal Article; Randomized Controlled Trial,trial,Phase 1 study of crisaborole in Japanese healthy volunteers and patients with atopic dermatitis.
31679561,high,0,Case Reports; Journal Article,non_trial,A therapeutic regimen for 3-hydroxyisobutyryl-CoA hydrolase deficiency with exercise-induced dystonia.
31684760,some_concerns,0,"Journal Article; Research Support, N.I.H., Extramural; Research Support, N.I.H., Intramural; Research Support, Non-U.S. Gov't",ambiguous,Depressive symptoms in adolescent girls at-risk for type 2 diabetes and their parents.
31702051,low,0,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't",ambiguous,Prevalence and correlates of psychiatric comorbidities in children and adolescents with full and subthreshold avoidant/r
31766934,high,0,Journal Article; Meta-Analysis; Systematic Review,non_trial,Examining complexity in grip selection tasks and consequent effects on planning for end-state-comfort in children with d
31772459,low,0,Journal Article,ambiguous,Concentrated Bone Marrow Aspirate-Coated Hydroxyapatite for Reconstruction of Small-to-Moderate-Sized Mandibular Defects
31786338,some_concerns,0,"Journal Article; Randomized Controlled Trial; Research Support, N.I.H., Extramural",trial,"An exploratory randomized sub-study of light-to-moderate intensity exercise on cognitive function, depression symptoms a"
31789396,some_concerns,0,Journal Article,ambiguous,Circulating non‑coding RNA‑biomarker potential in neoadjuvant chemotherapy of triple negative breast cancer?
31826009,high,0,"Journal Article; Randomized Controlled Trial; Research Support, Non-U.S. Gov't",trial,Physiological impact of nanoporous acupuncture needles: Laser Doppler perfusion imaging in healthy volunteers.
31848358,high,0,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't",ambiguous,Distinct mechanisms of signal processing by lamina I spino-parabrachial neurons.
31868300,some_concerns,0,"Journal Article; Research Support, N.I.H., Extramural; Research Support, U.S. Gov't, P.H.S.",ambiguous,Genetic diversity of influenza A viruses circulating in pigs between winter and summer in a Minnesota live animal market
31878683,low,0,Journal Article,ambiguous,Middle-IR frequency comb based on Cr:ZnS laser.
31912320,high,0,Comparative Study; Journal Article,ambiguous,Comparison of radial extracorporeal shockwave therapy with ultrasound therapy in patients with lateral epicondylitis.
31924033,low,0,Journal Article,ambiguous,Bio-modified TiO
32038738,some_concerns,0,Journal Article,ambiguous,"Age Effects of Frames of Reference in Self-reports of Health, Well-being, Fatigue and Pain."
32089860,some_concerns,0,"Journal Article; Research Support, Non-U.S. Gov't",ambiguous,Norwegian PhD students' discourses about practice-relevant research in the field of health and social work.
32158137,some_concerns,0,Journal Article,ambiguous,Genetic characterization of cassava (
32166243,high,0,Journal Article,ambiguous,Pediatric Trauma Patient Intensive Care Resource Utilization in U.S. Military Operations in Iraq and Afghanistan.
32212104,some_concerns,0,"Clinical Trial, Phase IV; Journal Article; Multicenter Study",trial,"Safety, Effectiveness, and Pharmacokinetics of Crisaborole in Infants Aged 3 to < 24 Months with Mild-to-Moderate Atopic"
32252822,some_concerns,0,"Journal Article; Randomized Controlled Trial; Research Support, Non-U.S. Gov't",trial,"Mat Pilates is as effective as aquatic aerobic exercise in treating women with fibromyalgia: a clinical, randomized and "
32267455,high,0,Journal Article,ambiguous,Meat preparation techniques: results of the ISACamp population-based survey.
32318744,low,0,Journal Article; Randomized Controlled Trial,trial,Evaluating the Efficacy of Crisaborole Using the Atopic Dermatitis Severity Index and Percentage of Affected Body Surfac
32368265,some_concerns,0,Journal Article,ambiguous,Storage of boar semen at 16-18 °C in the long-term commercial extender prepared with deionized water or nanowater.
32382720,low,0,Journal Article,ambiguous,Predictors of remission after repetitive transcranial magnetic stimulation for the treatment of major depressive disorde
32391709,some_concerns,0,Journal Article; Randomized Controlled Trial,trial,"Single-session digital intervention for adolescent depression, anxiety, and well-being: Outcomes of a randomized control"
32502588,low,0,"Clinical Trial, Phase II; Journal Article; Multicenter Study; Randomized Controlled Trial",trial,"Efficacy and patient-reported outcomes from a phase 2b, randomized clinical trial of tapinarof cream for the treatment o"
32682361,high,0,Comparative Study; Journal Article; Randomized Controlled Trial,trial,"Comparison of the clinical and sonographic effects of ultrasound therapy, extracorporeal shock wave therapy, and Kinesio"
32699492,high,0,Journal Article,ambiguous,Online Glucose Prediction Using Computationally Efficient Sparse Kernel Filtering Algorithms in Type-1 Diabetes.
32699534,some_concerns,0,Journal Article,ambiguous,Error Measures for Trajectories Estimations with Geo-tagged Mobility Sample Data.
32770731,some_concerns,0,Journal Article,ambiguous,Transcatheter mitral valve repair in patients with chronic liver disease: Insights from the national inpatient sample.
32799975,high,0,"Journal Article; Research Support, Non-U.S. Gov't",ambiguous,Hungarian general practitioners' attitude and the role of education in dementia care.
32839129,some_concerns,0,Journal Article,ambiguous,Outcomes of MitraClip Placement in Patients With Liver Cirrhosis.
32841300,high,0,"Journal Article; Randomized Controlled Trial; Research Support, Non-U.S. Gov't",trial,"An age-adapted plyometric exercise program improves dynamic strength, jump performance and functional capacity in older "
32859100,high,0,"Journal Article; Randomized Controlled Trial; Research Support, Non-U.S. Gov't",trial,Efficacy of a Multi-component m-Health Weight-loss Intervention in Overweight and Obese Adults: A Randomised Controlled 
32913396,low,0,Journal Article,ambiguous,New dammarane-type triterpenoid saponins from 
32915670,some_concerns,0,Journal Article; Randomized Controlled Trial,trial,Feasibility evaluation of psychosocial intervention for internally displaced youth in Kenya.
32992943,high,0,"Journal Article; Randomized Controlled Trial; Research Support, Non-U.S. Gov't",trial,The Effectiveness of Trunk Stabilization Exercise Combined with Vibration for Adolescent Patients with Nonspecific Low B
33033445,low,0,Journal Article,ambiguous,Saliva diagnostic utility in patients with type 2 diabetes: Future standard method.
33044108,some_concerns,0,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, Non-P.H.S.",ambiguous,Orcokinin neuropeptides regulate sleep in 
33192122,high,0,Journal Article,ambiguous,Korean Red Ginseng alleviates dehydroepiandrosterone-induced polycystic ovarian syndrome in rats via its antiinflammator
33206928,some_concerns,0,Clinical Trial; Journal Article,trial,Impact of the promotora model on the improvement of oral health knowledge of caregivers.
33281947,high,0,Journal Article,ambiguous,Surgical treatment of chronic anterior radial head dislocations in missed Monteggia lesions in children: A rationale for
33290346,low,0,Journal Article; Multicenter Study; Randomized Controlled Trial,trial,Preoperative Versus Postoperative Scalp Block Combined With Incision Line Infiltration for Pain Control After Supratento
33653585,high,0,Journal Article,ambiguous,The association between childhood socioeconomic status and adult health behavior: The role of locus of control.
33661592,some_concerns,0,,unknown,
33677113,some_concerns,0,"Journal Article; Multicenter Study; Randomized Controlled Trial; Research Support, Non-U.S. Gov't",trial,"Spa Therapy for the Treatment of Fibromyalgia: An Open, Randomized Multicenter Trial."
33737987,some_concerns,0,Journal Article,ambiguous,Parenting-focused mindfulness intervention reduces stress and improves parenting in highly-stressed mothers of adolescen
33786493,low,0,Journal Article,ambiguous,Advanced Breast Cancer at Diagnosis: Over One Third Adherent to Screening Recommendations.
33907707,high,0,Journal Article,ambiguous,Photobiomodulation therapy for management of inferior alveolar nerve injury post-extraction of impacted lower third mola
34008159,some_concerns,0,Journal Article; Randomized Controlled Trial,trial,Mobile Heart Rate Variability Biofeedback as a Complementary Intervention After Myocardial Infarction: a Randomized Cont
34059568,some_concerns,0,Journal Article; Randomized Controlled Trial,trial,Effect of adding plyometric training to physical education sessions on specific biomechanical parameters in primary scho
34106239,low,0,"Journal Article; Randomized Controlled Trial; Research Support, Non-U.S. Gov't",trial,Effect of Shamiri Layperson-Provided Intervention vs Study Skills Control Intervention for Depression and Anxiety Sympto
34239513,high,0,Journal Article,ambiguous,Improving Hypoxia Adaption Causes Distinct Effects on Growth and Bioactive Compounds Synthesis in an Entomopathogenic Fu
34254179,some_concerns,0,Journal Article; Multicenter Study; Observational Study,ambiguous,Prognostic value of hepatorenal function following transcatheter edge-to-edge mitral valve repair.
34272792,low,0,Journal Article,ambiguous,Cardiac output states in patients with severe functional tricuspid regurgitation: impact on treatment success and progno
34295213,high,0,Journal Article,ambiguous,Phenological growth stages of Korean ginseng (
34368780,high,0,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't",ambiguous,PAK4 inhibition improves PD-1 blockade immunotherapy.
34379285,some_concerns,0,Journal Article,ambiguous,"Efficacy and Safety Trends with Continuous, Long-Term Crisaborole Use in Patients Aged ≥ 2 Years with Mild-to-Moderate A"
34435694,low,0,Journal Article; Multicenter Study; Randomized Controlled Trial,trial,"A phase 2b, randomized, double-blind, multicenter, vehicle-controlled study to assess the efficacy and safety of two cri"
34667876,some_concerns,0,Journal Article,ambiguous,General orders for the embedded researcher: Moorings for a developing profession.
34712039,some_concerns,0,Journal Article,ambiguous,Trauma Symptoms and Relationship With Child and Family Team Meeting Characteristics and Outcomes in a Statewide System o
34764270,high,0,"Journal Article; Research Support, Non-U.S. Gov't",ambiguous,Acute myeloid leukemia maturation lineage influences residual disease and relapse following differentiation therapy.
34790187,some_concerns,0,Journal Article,ambiguous,Cell Division Control Protein 42 Interacts With Hepatitis E Virus Capsid Protein and Participates in Hepatitis E Virus I
34844522,low,0,Journal Article,ambiguous,"Describing Disclosure of Cybervictimization in Adolescents from the United Kingdom: The Role of Age, Gender, Involvement"
34923216,some_concerns,0,Journal Article; Randomized Controlled Trial,trial,WATSU therapy for individuals with Parkinson's disease to improve quality of sleep and quality of life: A randomized con
